EFO_ID	SEED
1001114	343
EFO_0000094	105
EFO_0000095	583
EFO_0000096	372
EFO_0000174	888
EFO_0000178	278
EFO_0000180	825
EFO_0000181	112
EFO_0000182	128
EFO_0000183	114
EFO_0000195	795
EFO_0000203	676
EFO_0000220	556
EFO_0000222	747
EFO_0000249	114
EFO_0000253	668
EFO_0000266	737
EFO_0000270	109
EFO_0000274	800
EFO_0000275	329
EFO_0000278	31
EFO_0000279	589
EFO_0000280	562
EFO_0000284	372
EFO_0000289	633
EFO_0000292	145
EFO_0000305	732
EFO_0000311	916
EFO_0000319	636
EFO_0000326	567
EFO_0000339	770
EFO_0000341	248
EFO_0000365	564
EFO_0000373	618
EFO_0000384	816
EFO_0000389	349
EFO_0000398	16
EFO_0000400	537
EFO_0000401	846
EFO_0000403	264
EFO_0000404	797
EFO_0000405	494
EFO_0000407	450
EFO_0000409	992
EFO_0000464	182
EFO_0000473	880
EFO_0000474	609
EFO_0000478	861
EFO_0000483	535
EFO_0000493	732
EFO_0000516	503
EFO_0000519	577
EFO_0000537	888
EFO_0000538	230
EFO_0000540	616
EFO_0000555	117
EFO_0000557	473
EFO_0000571	198
EFO_0000574	753
EFO_0000612	846
EFO_0000614	155
EFO_0000621	218
EFO_0000625	450
EFO_0000637	774
EFO_0000638	952
EFO_0000641	660
EFO_0000649	659
EFO_0000660	465
EFO_0000668	981
EFO_0000676	380
EFO_0000677	64
EFO_0000681	699
EFO_0000684	73
EFO_0000685	424
EFO_0000692	126
EFO_0000699	974
EFO_0000701	726
EFO_0000702	146
EFO_0000707	737
EFO_0000708	626
EFO_0000712	420
EFO_0000714	348
EFO_0000717	610
EFO_0000729	557
EFO_0000731	249
EFO_0000756	993
EFO_0000764	297
EFO_0000765	805
EFO_0000768	982
EFO_0000769	74
EFO_0000783	432
EFO_0001054	425
EFO_0001059	892
EFO_0001060	214
EFO_0001061	144
EFO_0001065	7
EFO_0001068	211
EFO_0001071	487
EFO_0001073	744
EFO_0001075	503
EFO_0001357	978
EFO_0001358	398
EFO_0001359	114
EFO_0001360	479
EFO_0001361	535
EFO_0001365	131
EFO_0001372	77
EFO_0001378	213
EFO_0001382	455
EFO_0001422	957
EFO_0001645	338
EFO_0001663	280
EFO_0002506	191
EFO_0002508	55
EFO_0002609	435
EFO_0002614	947
EFO_0002618	143
EFO_0002686	223
EFO_0002690	643
EFO_0002892	188
EFO_0002916	773
EFO_0002950	525
EFO_0003047	748
EFO_0003060	182
EFO_0003063	443
EFO_0003086	33
EFO_0003095	346
EFO_0003100	804
EFO_0003106	296
EFO_0003108	564
EFO_0003144	39
EFO_0003756	816
EFO_0003758	320
EFO_0003761	600
EFO_0003762	646
EFO_0003767	822
EFO_0003768	650
EFO_0003770	462
EFO_0003778	793
EFO_0003779	208
EFO_0003780	70
EFO_0003784	457
EFO_0003785	773
EFO_0003819	193
EFO_0003821	38
EFO_0003827	722
EFO_0003829	796
EFO_0003834	561
EFO_0003839	27
EFO_0003843	912
EFO_0003870	97
EFO_0003882	94
EFO_0003884	279
EFO_0003885	869
EFO_0003888	524
EFO_0003890	754
EFO_0003892	830
EFO_0003894	557
EFO_0003896	954
EFO_0003898	694
EFO_0003902	98
EFO_0003907	422
EFO_0003912	1
EFO_0003914	917
EFO_0003917	76
EFO_0003918	615
EFO_0003923	496
EFO_0003924	332
EFO_0003928	623
EFO_0003931	846
EFO_0003939	805
EFO_0003940	770
EFO_0003948	939
EFO_0003949	450
EFO_0003956	166
EFO_0003958	395
EFO_0003959	386
EFO_0003961	387
EFO_0003963	843
EFO_0004143	229
EFO_0004145	180
EFO_0004190	103
EFO_0004191	189
EFO_0004192	21
EFO_0004193	896
EFO_0004194	878
EFO_0004197	714
EFO_0004207	518
EFO_0004208	10
EFO_0004209	63
EFO_0004210	490
EFO_0004211	455
EFO_0004212	482
EFO_0004214	816
EFO_0004215	334
EFO_0004216	981
EFO_0004220	634
EFO_0004226	781
EFO_0004227	981
EFO_0004228	833
EFO_0004229	805
EFO_0004230	818
EFO_0004232	672
EFO_0004233	756
EFO_0004234	55
EFO_0004235	454
EFO_0004236	6
EFO_0004237	937
EFO_0004239	231
EFO_0004240	210
EFO_0004242	517
EFO_0004244	844
EFO_0004246	616
EFO_0004247	69
EFO_0004251	61
EFO_0004252	426
EFO_0004253	930
EFO_0004254	347
EFO_0004255	434
EFO_0004256	596
EFO_0004257	174
EFO_0004261	781
EFO_0004262	685
EFO_0004263	689
EFO_0004264	51
EFO_0004265	48
EFO_0004267	317
EFO_0004268	409
EFO_0004269	227
EFO_0004270	613
EFO_0004272	515
EFO_0004273	157
EFO_0004274	244
EFO_0004276	163
EFO_0004278	699
EFO_0004279	702
EFO_0004282	548
EFO_0004284	825
EFO_0004285	805
EFO_0004286	253
EFO_0004289	856
EFO_0004296	874
EFO_0004297	276
EFO_0004298	968
EFO_0004300	602
EFO_0004302	488
EFO_0004304	17
EFO_0004305	232
EFO_0004307	495
EFO_0004308	309
EFO_0004309	59
EFO_0004310	781
EFO_0004311	871
EFO_0004312	875
EFO_0004314	677
EFO_0004315	16
EFO_0004317	865
EFO_0004318	584
EFO_0004319	423
EFO_0004321	660
EFO_0004323	755
EFO_0004324	724
EFO_0004325	659
EFO_0004326	180
EFO_0004327	48
EFO_0004328	808
EFO_0004329	234
EFO_0004330	968
EFO_0004333	363
EFO_0004337	360
EFO_0004338	736
EFO_0004339	294
EFO_0004340	629
EFO_0004341	334
EFO_0004342	757
EFO_0004343	729
EFO_0004344	174
EFO_0004345	578
EFO_0004346	899
EFO_0004348	637
